iter	Passed	Remaining
401	16124	3930
402	16171	3892
403	16210	3852
404	16246	3810
405	16296	3773
406	16340	3733
407	16391	3696
408	16435	3656
409	16480	3617
410	16526	3578
411	16561	3537
412	16594	3495
413	16636	3455
414	16681	3416
415	16714	3375
416	16759	3335
417	16804	3296
418	16838	3255
419	16883	3215
420	16931	3177
421	16979	3138
422	17022	3098
423	17057	3057
424	17092	3016
425	17127	2975
426	17163	2934
427	17211	2895
428	17247	2854
429	17291	2814
430	17326	2773
431	17368	2733
432	17405	2693
433	17446	2653
434	17483	2612
435	17521	2571
436	17559	2531
437	17617	2493
438	17663	2454
439	17697	2413
440	17757	2375
441	17792	2334
442	17834	2294
443	17880	2255
444	17924	2215
445	17958	2174
446	17995	2133
447	18037	2093
448	18073	2052
449	18114	2012
450	18150	1971
451	18191	1931
452	18228	1891
453	18268	1851
454	18314	1811
455	18375	1773
456	18412	1732
457	18454	1692
458	18501	1652
459	18538	1612
460	18578	1571
461	18622	1531
462	18657	1490
463	18701	1450
464	18747	1411
465	18779	1370
466	18811	1329
467	18843	1288
468	18889	1248
469	18934	1208
470	18970	1168
471	19006	1127
472	19046	1087
473	19092	1047
474	19127	1006
475	19170	966
476	19215	926
477	19251	886
478	19293	845
479	19338	805
480	19386	765
481	19421	725
482	19459	684
483	19497	644
484	19543	604
485	19592	564
486	19628	523
487	19664	483
488	19701	443
489	19746	402
490	19792	362
491	19827	322
492	19870	282
493	19917	241
494	19962	201
495	19999	161
496	20034	120
497	20072	80
498	20124	40
499	20162	0
