iter	Logloss
120	0.1240704331
121	0.1239508967
122	0.1237167029
123	0.1235776768
124	0.1233592415
125	0.1231929679
126	0.1230374975
127	0.1228978128
128	0.1227178698
129	0.1224224453
130	0.1222984886
131	0.1220850039
132	0.1219717779
133	0.1218351502
134	0.1216686993
135	0.1215210495
136	0.1213925848
137	0.1212956204
138	0.1210233502
139	0.1208642654
140	0.1206927223
141	0.1205663781
142	0.120443481
143	0.1203450379
144	0.1201713014
145	0.1199910078
146	0.1198544741
147	0.1197378421
148	0.1195564103
149	0.1194502101
150	0.1192806048
151	0.1191986175
152	0.1190943565
153	0.1189738474
154	0.1188711634
155	0.1187435718
156	0.1186482768
157	0.1185364995
158	0.1183807998
159	0.118287498
160	0.118169621
161	0.1180818381
162	0.1180020766
163	0.1178902044
164	0.1176859612
165	0.1175696635
166	0.1174310927
167	0.1172793813
168	0.1171789317
169	0.1170502071
170	0.1169042935
171	0.116778986
172	0.1166815524
173	0.1165268464
174	0.1164039922
175	0.1162549014
176	0.1160638404
177	0.1158846617
178	0.1157477612
179	0.1156639972
180	0.1155679965
181	0.1154936547
182	0.1153869033
183	0.1152684259
184	0.1151576004
185	0.1150718865
186	0.114994103
187	0.1148220592
188	0.1147286196
189	0.1145915451
190	0.1144958243
191	0.1144048638
192	0.1143027434
193	0.1142112389
194	0.1141160703
195	0.1140176868
196	0.1138383794
197	0.1137543082
198	0.1136506138
199	0.1135910139
200	0.1134311795
201	0.1133405013
202	0.1132556424
203	0.1131224432
204	0.1130508175
205	0.1129707398
206	0.1128854599
207	0.1127783074
208	0.1127103314
209	0.1126378179
210	0.1125670428
211	0.11241328
212	0.1123136816
213	0.1122417154
214	0.1121720448
215	0.1120585265
216	0.1119931111
217	0.1118604798
218	0.1118082304
219	0.1116882081
220	0.1116184902
221	0.111484128
222	0.1114703746
223	0.1114149928
224	0.1112979474
225	0.1111838093
226	0.1110827727
227	0.1110100994
228	0.1109371915
229	0.1108560753
230	0.1107802658
231	0.1107097516
232	0.1106039639
233	0.1105451202
234	0.1104430022
235	0.1103274999
236	0.1102059388
237	0.1101393275
238	0.1100198669
239	0.1099178476
240	0.1098685308
241	0.1097994094
242	0.1097404685
243	0.1096595664
244	0.1095787454
245	0.1094963498
246	0.1094258251
247	0.1094141493
248	0.1093646169
249	0.1092638392
250	0.1091937075
251	0.1091167383
252	0.1090608635
253	0.1089995475
254	0.1089084005
255	0.1087913575
256	0.1086735997
257	0.1084850135
258	0.1084188814
259	0.1083380599
260	0.1082557769
261	0.1081739697
262	0.1081008916
263	0.1080905719
264	0.1080236192
265	0.1079422321
266	0.1078935585
267	0.1078266268
268	0.1077752862
269	0.1076638403
270	0.1075641251
271	0.1074541755
272	0.1073456364
273	0.1072963676
274	0.1072373924
275	0.1071583514
276	0.1070801258
277	0.107013011
278	0.1069439945
279	0.10682689
280	0.1067408676
281	0.10668819
282	0.1066121855
283	0.1065247979
284	0.1064603662
285	0.1064111524
286	0.1063629589
287	0.1062642412
288	0.1061143808
289	0.106063838
290	0.105978147
291	0.1059000015
292	0.1058561487
293	0.105767993
294	0.1056999202
295	0.1056399894
296	0.1055593367
297	0.1054050274
298	0.1053331056
299	0.1052910843
300	0.1052287316
301	0.1051606135
302	0.1050881772
303	0.1050794811
304	0.1050195284
305	0.1049649601
306	0.104916573
307	0.1048413
308	0.1047676735
309	0.1046248636
310	0.1045365791
311	0.1044525771
312	0.10440309
313	0.1043283401
314	0.1042628441
315	0.1042042174
316	0.1041404886
317	0.1040807281
318	0.1039728088
319	0.1039202313
320	0.1038714013
321	0.103825429
322	0.1037653604
323	0.1036972294
324	0.1036322465
325	0.1035875912
326	0.1035399699
327	0.1034797807
328	0.1033913913
329	0.1033453221
330	0.1032869248
331	0.1031945319
332	0.103089632
333	0.1030430937
334	0.1029544492
335	0.1028913345
336	0.1028441262
337	0.1027960701
338	0.102715013
339	0.1026539555
340	0.1025414648
341	0.1024933357
342	0.1024418607
343	0.1023644972
344	0.1023046322
345	0.1021912894
346	0.1021405196
347	0.1020464158
348	0.1019991474
349	0.1019543142
350	0.1019050388
351	0.1018704071
352	0.1017725182
353	0.1017288637
354	0.1016973658
355	0.1015809793
356	0.1015408435
357	0.1014856219
358	0.1013856754
359	0.1013232112
360	0.1012727513
361	0.1012280154
362	0.1011039705
363	0.1010116668
364	0.1009485455
365	0.1008788557
366	0.1008264375
367	0.1007800617
368	0.1007232471
369	0.1006489062
370	0.100594357
371	0.1005344992
372	0.1004368463
373	0.1003850198
374	0.1003778887
375	0.1003085818
376	0.1002501602
377	0.1002053852
378	0.1001211238
379	0.1000269079
380	0.0999866147
381	0.09991948557
382	0.09984803581
383	0.09974987793
384	0.09969960785
385	0.09965525484
386	0.09956198835
387	0.09952512169
388	0.09947113276
389	0.09942968607
390	0.09935588551
391	0.0992929759
392	0.09925568533
393	0.09920767117
394	0.09916284847
395	0.09909372139
396	0.09904268551
397	0.09899634409
398	0.09891772556
399	0.09887777472
400	0.09882896757
401	0.09874812555
402	0.0986647296
403	0.09859685707
404	0.09855649376
405	0.09850651598
406	0.09845605135
407	0.09840480137
408	0.09832109642
409	0.09823753786
410	0.09818598461
411	0.09814155865
412	0.09808052015
413	0.0979587326
414	0.09792348623
415	0.09788278723
416	0.09781929111
417	0.09776837301
418	0.09768464518
419	0.09760296535
420	0.09754133892
421	0.09744257307
422	0.09740135813
423	0.09735325861
424	0.09728611803
425	0.09723417664
426	0.09718925476
427	0.09714537191
428	0.09708482742
429	0.09703789425
430	0.09700314903
431	0.09695193291
432	0.096890625
433	0.09684377098
434	0.09679559278
435	0.09675269699
436	0.09670402002
437	0.09664912033
438	0.09661823654
439	0.09656888151
440	0.09652123737
441	0.09647742414
442	0.09640329123
443	0.09630761862
444	0.09627674055
445	0.09621433353
446	0.09612551594
447	0.09605399084
448	0.09600327682
449	0.09592331123
450	0.0958626461
451	0.0958134284
452	0.09577839613
453	0.09572591639
454	0.09568886995
455	0.09563229609
456	0.09555516863
457	0.09551427603
458	0.09547802305
459	0.0953976655
460	0.09532220411
461	0.09528440237
462	0.09523954773
463	0.0952067976
464	0.0951628499
465	0.09511795425
466	0.09508259726
467	0.09504096794
468	0.09500824547
469	0.09496380568
470	0.0949265337
471	0.09485518312
472	0.0947637639
473	0.09472152233
474	0.09468556499
475	0.09464018774
476	0.09460430479
477	0.09455194759
478	0.09450776815
479	0.09446475029
480	0.09438343
481	0.09435043812
482	0.09424614334
483	0.09418661213
484	0.09418032122
485	0.09414905596
486	0.0941113348
487	0.0940638423
488	0.09401657867
489	0.09396999025
490	0.09396402979
491	0.09391677618
492	0.09388142347
493	0.09384520245
494	0.09380567551
495	0.09373335028
496	0.09369759607
497	0.09365026474
498	0.09360800076
499	0.09348863554
